1,1,11
1,37,2
1,18,1
2,2,1640
2,3,26
2,5,85
2,6,35
2,7,18
2,8,135
2,9,29
2,10,23
2,11,38
2,14,34
2,15,90
2,16,24
2,17,58
2,18,11
2,19,46
2,21,58
2,22,32
2,24,3
2,26,7
2,27,5
2,29,15
2,30,26
2,31,29
2,32,59
2,33,15
2,34,3
2,35,27
2,36,9
2,37,27
2,25,8
2,40,22
2,43,6
2,42,18
2,12,151
2,44,4
2,45,1
2,46,5
2,48,23
2,49,32
2,51,13
3,2,16
3,3,520
3,4,1
3,5,9
3,48,55
3,7,17
3,8,128
3,9,8
3,10,3
3,11,10
3,14,38
3,15,21
3,16,6
3,17,18
3,12,27
3,19,33
3,21,11
3,22,7
3,24,1
3,26,7
3,27,7
3,29,2
3,30,4
3,31,16
3,32,14
3,33,14
3,34,2
3,35,5
3,36,10
3,37,6
3,25,3
3,40,48
3,43,1
3,42,8
3,18,2
3,49,13
3,46,18
3,6,18
3,44,6
4,3,2
4,4,95
4,5,4
4,48,2
4,7,2
4,8,2
4,9,7
4,14,8
4,16,1
4,17,1
4,12,2
4,19,5
4,21,11
4,22,1
4,26,4
4,30,1
4,32,3
4,34,1
4,35,1
4,36,1
4,37,1
4,39,8
4,40,4
4,42,3
4,43,4
4,46,3
4,6,7
4,44,4
5,1,1
5,2,36
5,3,7
5,5,1807
5,6,60
5,7,26
5,8,20
5,9,25
5,10,41
5,11,39
5,12,270
5,14,22
5,15,185
5,16,11
5,17,64
5,18,5
5,19,56
5,21,42
5,22,78
5,24,2
5,38,1
5,26,18
5,27,3
5,29,5
5,30,9
5,31,9
5,32,82
5,33,10
5,34,2
5,51,7
5,36,14
5,37,49
5,25,6
5,40,8
5,42,17
5,43,3
5,44,8
5,46,25
5,48,74
5,49,28
5,35,11
6,1,1
6,2,34
6,3,22
6,4,4
6,5,73
6,48,113
6,7,33
6,8,48
6,9,28
6,10,40
6,11,86
6,14,49
6,15,132
6,16,21
6,17,108
6,12,145
6,19,46
6,21,172
6,22,31
6,24,9
6,26,54
6,27,19
6,29,6
6,30,35
6,31,22
6,32,43
6,33,38
6,34,3
6,51,13
6,36,24
6,37,59
6,25,23
6,40,12
6,43,3
6,42,56
6,18,38
6,49,59
6,45,2
6,46,26
6,47,1
6,6,5269
6,44,34
6,35,28
7,2,7
7,18,4
7,3,7
7,4,2
7,5,26
7,48,40
7,7,3023
7,8,19
7,9,15
7,10,21
7,11,14
7,14,25
7,15,45
7,16,8
7,17,9
7,12,22
7,19,24
7,21,95
7,22,63
7,23,1
7,24,2
7,26,14
7,27,4
7,30,10
7,31,2
7,32,36
7,33,20
7,34,9
7,51,3
7,36,6
7,37,10
7,25,17
7,39,8
7,40,16
7,42,12
7,43,3
7,49,5
7,46,26
7,6,41
7,44,5
7,35,9
8,2,93
8,3,95
8,4,4
8,5,87
8,6,78
8,7,16
8,8,2890
8,9,71
8,10,110
8,11,31
8,13,1
8,14,60
8,29,57
8,16,22
8,17,95
8,12,109
8,19,140
8,21,84
8,22,44
8,24,3
8,38,3
8,26,45
8,27,82
8,15,87
8,30,28
8,31,86
8,32,28
8,33,59
8,34,14
8,35,17
8,36,21
8,37,57
8,25,67
8,40,57
8,43,14
8,42,28
8,18,13
8,44,27
8,45,1
8,46,76
8,48,43
8,49,55
8,51,25
9,2,24
9,3,10
9,5,70
9,6,86
9,7,23
9,8,69
9,9,1100
9,10,13
9,11,10
9,12,37
9,14,11
9,15,69
9,16,10
9,17,19
9,18,14
9,19,27
9,21,37
9,22,22
9,38,1
9,26,25
9,27,30
9,29,2
9,30,10
9,31,12
9,32,26
9,33,25
9,34,5
9,35,109
9,36,10
9,37,13
9,25,5
9,40,4
9,42,21
9,43,8
9,44,10
9,46,23
9,48,32
9,49,13
9,51,5
10,2,37
10,3,9
10,4,3
10,5,65
10,48,30
10,7,21
